Location,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone,NO,NOx,AQI
ITO,30.54,52.22,29.45,62.3,17.01,0.49,40.32,14.52,12.65,62.3
ITO,29.4,48.13,39.92,51.56,17.51,0.6,46.55,16.47,19.9,51.56
ITO,41.46,77.77,29.8,28.12,18.82,0.58,43.24,16.75,29.43,77.77
ITO,39.39,78.35,31.09,28.03,18.76,0.5,23.82,16.79,30.11,78.35
ITO,34.78,79.97,31.09,28.45,17.75,0.42,31.1,17.54,30.75,79.97
ITO,40.41,106.91,30.13,28,19.31,0.44,20.23,16.63,29.43,106.91
ITO,47.19,110.66,30.14,28.05,15.81,0.63,31.36,16.74,29.54,110.66
ITO,55.23,105.3,38.02,29.9,7.21,0.85,9.84,17.81,34.09,105.3
ITO,45.58,92.06,43.32,32.23,7.54,0.68,52.44,17.17,36.9,92.06
ITO,50.25,90.78,58.14,33.4,8.73,0.77,24.19,17.59,45.1,90.78
ITO,50.45,97.31,61.65,33.4,7.96,1.43,37.58,18.25,47.43,97.31
ITO,34.84,73.32,50.12,32.93,8.33,0.68,69.8,16.73,40.14,73.32
ITO,27.64,58.21,49.44,33.01,6.12,0.65,85.39,17.31,40.27,85.39
ITO,29.9,64.55,51.13,33.19,7.26,0.6,81.83,18.05,41.68,81.83
ITO,44.91,96.26,56.11,33.66,10.21,0.85,55.21,19.45,45.42,96.26
ITO,54.35,103.43,63.24,34.28,13.01,0.84,61.28,21.32,50.62,103.43
ITO,73.65,120.12,55.93,33.64,11.46,1.13,54.7,19.85,45.75,120.12
ITO,70.07,99.53,55.09,33.42,9.77,1.01,58.78,18.75,44.33,99.53
ITO,64.95,88.99,50.25,33.1,7.59,1.01,41.47,17.65,40.97,88.99
ITO,42.48,72.99,49.24,33.05,7.11,0.77,43.43,17.49,40.31,72.99
ITO,34.52,56.81,47.03,32.78,11.13,1.08,42.99,17.4,39.05,56.81
ITO,22.46,46.34,49.44,32.89,9.83,0.76,33.27,18.1,40.91,49.44
ITO,23.32,46.96,47.41,33.2,10.71,0.81,35.28,17.72,39.54,47.41
ITO,21.68,33.99,49.53,33,8.92,0.57,36.38,18.35,41.14,49.53
ITO,22.83,36.2,43.03,28.64,8.11,1.21,3.65,16.34,36,43.03
ITO,43.62,89.28,18.88,20.36,13.3,1,8.8,11.43,19.15,89.28
ITO,64.52,126.56,16.06,18.88,11.14,1.63,20.44,11.29,17.33,126.56
ITO,88.67,158.47,18.89,19.99,12.6,1.66,9.37,9.78,17.9,158.47
ITO,81,144,22,20.4,13.4,3.1,1.2,9.5,19.5,144
Rohini,12.36,49.9,7.04,35.3,1.6,0.56,9.41,3.78,10.81,49.9
Rohini,26.32,85.93,12.37,32.97,2.16,0.7,10.36,5.14,17.51,85.93
Rohini,38.64,104.42,8.93,38.11,2.03,0.66,6.95,3.74,12.66,104.42
Rohini,35.04,96.55,9.42,48.5,2.03,0.67,8.22,3.51,12.91,96.55
Rohini,20.76,67.17,11.79,47.1,2.22,0.6,8.96,5.33,17.1,67.17
Rohini,16.34,55.61,15.96,38.65,1.61,0.65,9.07,10.39,26.38,55.61
Rohini,29.05,105.99,15.53,38.25,1.53,0.78,20.44,7.61,23.07,105.99
Rohini,30.67,91.41,8.8,39.33,2.29,0.62,8.32,4.59,13.4,91.41
Rohini,25.8,88.3,7.37,37.9,2.14,0.58,9.79,3.47,10.83,88.3
Rohini,30.95,145.33,9.42,38.14,2.24,0.7,11.61,10.23,19.75,145.33
Rohini,31.58,138.98,12.2,34.53,2.35,0.64,10.05,4.76,17.04,138.98
Rohini,43.67,147.52,20.13,35.73,2.4,0.88,9.13,6.88,27.02,147.52
Rohini,32.41,118.03,12.52,44.41,2.22,0.68,10.24,7,19.5,118.03
Rohini,37.94,141.56,12.06,41.92,2.98,0.65,7.01,6.29,18.35,141.56
Rohini,39.07,138.03,16.69,46.37,3.19,0.77,7.57,13.79,30.49,138.03
Rohini,27.06,111.58,11.15,46.17,2.89,0.66,6.82,6.92,18.06,111.58
Rohini,23.22,91.4,12.12,41.01,2.8,0.62,6.88,5.98,18.08,91.4
Rohini,20.67,89.32,9.73,37.52,2.16,0.56,10.8,3.68,13.4,89.32
Rohini,36.89,135.83,12.77,36.22,3.15,0.65,8.53,5.41,18.16,135.83
Rohini,41.38,135.81,13.74,38.55,4.81,0.68,17.96,4.81,18.49,135.81
Rohini,68.01,165.82,14.96,43.25,4.64,0.83,23.41,3.08,18.05,165.82
Rohini,60.18,136.91,18.53,46.53,2.91,0.9,22.16,5.72,24.3,136.91
Rohini,48.83,100.16,15.3,47.57,2.45,0.77,13.05,4.68,19.99,100.16
Rohini,32.36,84.25,14,43.17,3.37,0.74,17.19,5.76,19.88,84.25
Rohini,24.12,76.19,13.39,38.04,2.56,0.75,16.09,4.72,18.12,76.19
Rohini,17.65,60.43,11.34,36.16,2.23,0.66,8.97,3.28,14.62,60.43
Rohini,13.09,51.8,8.42,36.06,1.86,0.6,9.1,2.9,11.31,51.8
Rohini,12.75,31.71,6.65,36.93,1.79,0.61,7.17,2.49,9.14,36.93
Rohini,12.65,21.7,11.03,33.26,1.75,0.74,7.97,7.59,18.5,33.26
Rohini,31.36,88.95,13.91,32.86,2,0.82,10.15,12.82,26.71,88.95
Rohini,46.18,142.66,18.3,32.86,2.88,1.08,15.52,20.8,39.04,142.66
Rohini,85.92,200.73,18.35,40.17,3.43,1.15,6.06,18.77,37.13,200.73
Rohini,64,262,28.8,41.9,3.1,1.8,2.9,104.6,135.8,262
